City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
84,danville,36.586,-79.395,63.16,44,0,5.75,US,1677631757
85,honiara,-9.4333,159.95,80.15,89,100,15.64,SB,1677632060
86,sioux lookout,50.1001,-91.917,19.47,49,20,12.66,CA,1677632066
87,kharsia,21.9667,83.1167,64.81,33,0,1.68,IN,1677632071
88,kasongo-lunda,-6.4667,16.8167,70.11,90,100,2.04,CD,1677632076
89,east london,-33.0153,27.9116,72.3,91,9,12.3,ZA,1677632082
90,bridlington,54.0831,-0.1919,42.15,84,100,17.85,GB,1677632087
91,tadine,-21.55,167.8833,81.93,80,100,18.1,NC,1677632092
92,kaitangata,-46.2817,169.8464,70.66,58,57,6.89,NZ,1677632098
93,ilulissat,69.2167,-51.1,15.82,86,100,4.61,GL,1677632103
94,corinto,37.9407,22.9573,56.89,92,66,3.8,GR,1677632109
95,nador,35.174,-2.9287,53.85,62,0,0.0,MA,1677632114
96,vaini,-21.2,-175.2,84.36,79,40,12.66,TO,1677632119
97,mount gambier,-37.8333,140.7667,65.61,53,47,9.84,AU,1677632125
98,lavrentiya,65.5833,-171.0,2.28,80,100,23.76,RU,1677632130
99,alofi,-19.0595,-169.9187,87.69,55,40,4.61,NU,1677632135
100,waipawa,-41.4122,175.5153,66.34,62,2,6.29,NZ,1677632141
101,touros,-5.1989,-35.4608,80.02,78,16,11.72,BR,1677632146
102,esperance,-33.8667,121.9,68.14,59,34,9.98,AU,1677632151
103,bukoba,-1.3317,31.8122,64.09,88,29,4.74,TZ,1677632157
104,sao mateus do sul,-25.8742,-50.3828,61.84,100,100,2.06,BR,1677632162
105,baoqing,46.3317,132.2111,22.35,67,100,5.1,CN,1677632167
106,yambio,4.5721,28.3955,71.83,68,100,3.85,SS,1677632173
107,poum,-20.2333,164.0167,82.04,79,24,2.98,NC,1677632183
108,husavik,66.0449,-17.3389,35.8,67,3,20.24,IS,1677632189
109,bosaso,11.2842,49.1816,75.43,76,22,5.5,SO,1677632194
110,half moon bay,37.4636,-122.4286,52.45,87,100,12.66,US,1677631990
111,petropavlovsk-kamchatskiy,53.0452,158.6483,21.79,46,75,0.0,RU,1677632204
112,hoi an,15.8794,108.335,69.76,88,100,3.11,VN,1677632210
113,hilo,19.7297,-155.09,71.33,92,75,10.36,US,1677632215
114,urumqi,43.801,87.6005,13.15,79,0,2.24,CN,1677632142
115,bathsheba,13.2167,-59.5167,77.61,69,20,12.66,BB,1677632226
116,emerald,-23.5333,148.1667,87.35,43,9,3.27,AU,1677632231
117,uyuni,-20.4597,-66.825,62.13,27,76,9.24,BO,1677632237
118,lagoa,39.05,-27.9833,61.68,86,100,23.02,PT,1677632242
119,abu samrah,35.3029,37.1841,56.16,43,9,2.01,SY,1677632253
120,eureka,40.8021,-124.1637,43.93,74,100,5.01,US,1677632258
121,buchanan,5.8808,-10.0467,78.71,89,82,6.6,LR,1677632263
122,yellowknife,62.456,-114.3525,-5.28,65,20,13.8,CA,1677632268
123,codrington,-38.2667,141.9667,64.89,61,53,15.59,AU,1677632274
124,bambous virieux,-20.3428,57.7575,75.45,88,20,0.0,MU,1677632111
